,0,1,2,3
3,Temp,25.40,,
9,Temp,25.40,,
15,Temp,25.40,,
21,Temp,25.40,,
27,Temp,25.40,,
33,Temp,25.40,,
39,Temp,25.40,,
45,Temp,25.40,,
51,Temp,25.40,,
57,Temp,25.50,,
63,Temp,25.50,,
69,Temp,25.50,,
75,Temp,25.50,,
81,Temp,25.50,,
87,Temp,25.50,,
93,Temp,25.50,,
99,Temp,25.50,,
105,Temp,25.50,,
111,Temp,25.50,,
117,Temp,25.50,,
123,Temp,25.50,,
129,Temp,25.50,,
135,Temp,25.50,,
141,Temp,25.50,,
147,Temp,25.50,,
153,Temp,25.50,,
159,Temp,25.50,,
165,Temp,25.50,,
171,Temp,25.50,,
177,Temp,25.50,,
183,Temp,25.50,,
189,Temp,25.50,,
195,Temp,25.50,,
201,Temp,25.50,,
207,Temp,25.50,,
213,Temp,25.50,,
219,Temp,25.50,,
225,Temp,25.50,,
231,Temp,25.50,,
237,Temp,25.50,,
243,Temp,25.50,,
249,Temp,25.50,,
255,Temp,25.50,,
261,Temp,25.50,,
267,Temp,25.50,,
273,Temp,25.50,,
279,Temp,25.50,,
285,Temp,25.50,,
291,Temp,25.50,,
297,Temp,25.50,,
303,Temp,25.50,,
309,Temp,25.50,,
315,Temp,25.50,,
321,Temp,25.50,,
327,Temp,25.50,,
333,Temp,25.50,,
339,Temp,25.50,,
345,Temp,25.50,,
