,0,1,2,3
1679,Al,104.17,,
1685,Al,104.68,,
1691,Al,105.02,,
1697,Al,104.26,,
1703,Al,104.60,,
1709,Al,104.76,,
1715,Al,104.68,,
1721,Al,104.09,,
1727,Al,105.35,,
1733,Al,104.34,,
1739,Al,104.26,,
1745,Al,104.17,,
1751,Al,104.17,,
1757,Al,104.60,,
1763,Al,104.68,,
1769,Al,104.60,,
1775,Al,104.51,,
1781,Al,104.34,,
1787,Al,104.60,,
1793,Al,104.76,,
1799,Al,104.34,,
1805,Al,105.02,,
1811,Al,104.34,,
1817,Al,104.43,,
1823,Al,105.02,,
1829,Al,104.43,,
1835,Al,105.27,,
1841,Al,105.10,,
1847,Al,104.43,,
1853,Al,104.51,,
1859,Al,104.51,,
1865,Al,104.60,,
1871,Al,104.60,,
1877,Al,105.02,,
1883,Al,104.68,,
1889,Al,104.60,,
1895,Al,104.76,,
1901,Al,104.60,,
1907,Al,104.68,,
1913,Al,104.34,,
1919,Al,105.44,,
1925,Al,104.60,,
1931,Al,104.34,,
1937,Al,104.60,,
1943,Al,104.76,,
1949,Al,104.26,,
1955,Al,104.43,,
1961,Al,104.43,,
1967,Al,104.43,,
1973,Al,104.51,,
1979,Al,104.68,,
1985,Al,105.02,,
1991,Al,104.34,,
1997,Al,104.76,,
2003,Al,104.68,,
2009,Al,104.60,,
2015,Al,105.02,,
2021,Al,104.68,,
2027,Al,104.60,,
2033,Al,104.60,,
2039,Al,104.76,,
2045,Al,104.34,,
2051,Al,104.68,,
2057,Al,104.51,,
2063,Al,104.43,,
2069,Al,105.18,,
2075,Al,104.43,,
2081,Al,104.43,,
2087,Al,104.76,,
2093,Al,104.68,,
2099,Al,104.68,,
2105,Al,104.76,,
2111,Al,104.34,,
2117,Al,105.02,,
2123,Al,104.76,,
2129,Al,104.68,,
2135,Al,104.68,,
2141,Al,104.26,,
2147,Al,104.43,,
2153,Al,104.60,,
2159,Al,104.34,,
2165,Al,104.34,,
2171,Al,104.51,,
2177,Al,104.60,,
2183,Al,104.51,,
2189,Al,104.43,,
2195,Al,104.60,,
2201,Al,104.51,,
2207,Al,105.27,,
2213,Al,105.18,,
2219,Al,104.43,,
2225,Al,105.44,,
2231,Al,105.02,,
2237,Al,104.60,,
2243,Al,104.43,,
2249,Al,104.34,,
2255,Al,105.18,,
2261,Al,104.68,,
2267,Al,105.35,,
2273,Al,104.68,,
2279,Al,104.51,,
2285,Al,104.01,,
2291,Al,104.34,,
2297,Al,105.18,,
2303,Al,105.61,,
2309,Al,105.02,,
2315,Al,105.02,,
2321,Al,105.18,,
2327,Al,104.76,,
2333,Al,104.43,,
2339,Al,104.76,,
2345,Al,105.18,,
2351,Al,105.44,,
2357,Al,105.02,,
2363,Al,104.68,,
2369,Al,105.10,,
2375,Al,105.44,,
2381,Al,104.60,,
2387,Al,105.02,,
2393,Al,105.02,,
2399,Al,105.35,,
2405,Al,105.27,,
2411,Al,105.52,,
2417,Al,105.18,,
2423,Al,105.10,,
2429,Al,105.02,,
2435,Al,104.17,,
2441,Al,104.51,,
2447,Al,104.68,,
2453,Al,104.43,,
2459,Al,104.34,,
2465,Al,104.51,,
2471,Al,104.76,,
2477,Al,105.27,,
2483,Al,105.18,,
2489,Al,105.52,,
2495,Al,104.76,,
2501,Al,105.10,,
2507,Al,105.27,,
2513,Al,105.10,,
2519,Al,105.77,,
2525,Al,105.18,,
2531,Al,105.69,,
2537,Al,105.10,,
2543,Al,105.27,,
2549,Al,105.18,,
2555,Al,105.27,,
2561,Al,105.10,,
2567,Al,105.35,,
2573,Al,105.02,,
2579,Al,104.34,,
2585,Al,105.27,,
2591,Al,105.35,,
2597,Al,104.01,,
2603,Al,105.27,,
2609,Al,105.18,,
2615,Al,105.02,,
2621,Al,104.68,,
2627,Al,104.51,,
2633,Al,104.60,,
2639,Al,105.10,,
2645,Al,104.60,,
2651,Al,104.51,,
2657,Al,104.60,,
2663,Al,105.02,,
2669,Al,104.68,,
2675,Al,104.76,,
2681,Al,104.60,,
2687,Al,105.10,,
2693,Al,104.51,,
2699,Al,105.02,,
2705,Al,105.10,,
2711,Al,105.27,,
2717,Al,105.27,,
2723,Al,104.68,,
2729,Al,104.68,,
2735,Al,105.52,,
2741,Al,104.68,,
2747,Al,104.26,,
2753,Al,104.60,,
2759,Al,104.60,,
2765,Al,105.02,,
2771,Al,104.43,,
2777,Al,104.34,,
2783,Al,104.26,,
2789,Al,104.34,,
2795,Al,104.76,,
2801,Al,104.60,,
2807,Al,104.26,,
2813,Al,104.60,,
2819,Al,104.60,,
2825,Al,104.60,,
2831,Al,104.60,,
2837,Al,104.60,,
2843,Al,105.02,,
2849,Al,104.34,,
2855,Al,104.43,,
2861,Al,104.76,,
2867,Al,104.34,,
2873,Al,104.68,,
2879,Al,105.02,,
2885,Al,103.92,,
2891,Al,104.68,,
2897,Al,105.02,,
2903,Al,104.76,,
2909,Al,105.02,,
2915,Al,104.26,,
2921,Al,104.68,,
2927,Al,104.43,,
2933,Al,104.60,,
2939,Al,104.51,,
2945,Al,104.60,,
2951,Al,104.43,,
2957,Al,104.68,,
2963,Al,105.10,,
2969,Al,105.10,,
2975,Al,104.68,,
2981,Al,104.68,,
2987,Al,105.02,,
2993,Al,104.51,,
2999,Al,105.02,,
3005,Al,105.52,,
3011,Al,105.35,,
3017,Al,104.34,,
3023,Al,104.43,,
3029,Al,105.44,,
3035,Al,105.52,,
3041,Al,105.27,,
3047,Al,104.68,,
3053,Al,104.76,,
3059,Al,104.43,,
3065,Al,104.60,,
3071,Al,104.60,,
3077,Al,104.09,,
3083,Al,104.43,,
3089,Al,105.02,,
3095,Al,104.60,,
3101,Al,104.60,,
3107,Al,104.51,,
3113,Al,105.02,,
3119,Al,104.17,,
3125,Al,104.17,,
3131,Al,104.43,,
3137,Al,104.60,,
3143,Al,104.51,,
3149,Al,105.02,,
3155,Al,104.68,,
3161,Al,105.02,,
3167,Al,105.02,,
3173,Al,104.76,,
3179,Al,104.51,,
3185,Al,104.26,,
3191,Al,104.51,,
3197,Al,104.68,,
3203,Al,104.60,,
3209,Al,104.68,,
3215,Al,104.60,,
3221,Al,105.02,,
3227,Al,105.02,,
3233,Al,104.51,,
3239,Al,104.51,,
3245,Al,104.26,,
3251,Al,105.18,,
3257,Al,105.02,,
3263,Al,104.68,,
3269,Al,104.43,,
3275,Al,104.26,,
3281,Al,104.68,,
3287,Al,104.43,,
3293,Al,104.51,,
3299,Al,104.43,,
3305,Al,104.68,,
3311,Al,104.60,,
3317,Al,104.68,,
3323,Al,105.02,,
3329,Al,105.10,,
3335,Al,105.10,,
3341,Al,104.76,,
3347,Al,104.09,,
3353,Al,104.68,,
3359,Al,104.68,,
3365,Al,105.02,,
3371,Al,104.51,,
3377,Al,104.76,,
3383,Al,104.60,,
3389,Al,104.68,,
3395,Al,104.43,,
3401,Al,104.43,,
3407,Al,104.68,,
3413,Al,104.76,,
3419,Al,104.43,,
3425,Al,104.17,,
3431,Al,104.51,,
3437,Al,105.02,,
3443,Al,104.51,,
3449,Al,104.51,,
3455,Al,104.60,,
3461,Al,104.68,,
3467,Al,104.51,,
3473,Al,104.34,,
3479,Al,103.92,,
3485,Al,104.51,,
3491,Al,104.43,,
3497,Al,104.60,,
3503,Al,104.34,,
3509,Al,104.34,,
3515,Al,104.51,,
3521,Al,104.51,,
3527,Al,105.18,,
3533,Al,105.10,,
3539,Al,104.43,,
3545,Al,104.60,,
3551,Al,104.34,,
3557,Al,104.60,,
3563,Al,104.43,,
3569,Al,104.51,,
3575,Al,104.51,,
3581,Al,104.26,,
3587,Al,104.76,,
3593,Al,104.60,,
3599,Al,105.35,,
3605,Al,104.60,,
3611,Al,104.51,,
3617,Al,104.43,,
3623,Al,105.27,,
3629,Al,105.27,,
3635,Al,104.60,,
3641,Al,104.51,,
3647,Al,105.18,,
3653,Al,105.10,,
3659,Al,105.18,,
3665,Al,104.68,,
3671,Al,104.34,,
3677,Al,104.76,,
3683,Al,104.68,,
3689,Al,104.68,,
3695,Al,105.02,,
3701,Al,104.68,,
3707,Al,104.26,,
3713,Al,104.26,,
3719,Al,105.18,,
3725,Al,104.60,,
3731,Al,104.51,,
3737,Al,104.34,,
3743,Al,104.26,,
3749,Al,104.43,,
3755,Al,104.43,,
3761,Al,104.01,,
3767,Al,104.34,,
3773,Al,104.34,,
3779,Al,104.17,,
3785,Al,104.43,,
3791,Al,104.60,,
3797,Al,105.10,,
3803,Al,104.26,,
3809,Al,104.51,,
3815,Al,104.09,,
3821,Al,104.17,,
3827,Al,104.51,,
3833,Al,104.17,,
3839,Al,104.34,,
3845,Al,104.68,,
3851,Al,104.76,,
3857,Al,104.17,,
3863,Al,104.43,,
3869,Al,104.51,,
3875,Al,104.34,,
3881,Al,104.09,,
3887,Al,104.43,,
3893,Al,104.01,,
3899,Al,104.76,,
3905,Al,104.09,,
3911,Al,104.26,,
3917,Al,104.51,,
3923,Al,104.34,,
3929,Al,104.43,,
3935,Al,103.92,,
3941,Al,104.09,,
3947,Al,104.60,,
3953,Al,103.92,,
3959,Al,104.34,,
3965,Al,104.09,,
3971,Al,104.01,,
3977,Al,104.26,,
3983,Al,104.26,,
3989,Al,104.51,,
3995,Al,104.68,,
4001,Al,104.17,,
4007,Al,104.51,,
4013,Al,104.09,,
4019,Al,104.09,,
4025,Al,104.26,,
4031,Al,104.60,,
4037,Al,104.34,,
4043,Al,104.51,,
4049,Al,104.60,,
4055,Al,104.51,,
4061,Al,104.60,,
4067,Al,103.67,,
4073,Al,103.75,,
4079,Al,104.51,,
4085,Al,103.67,,
4091,Al,104.01,,
4097,Al,103.84,,
4103,Al,104.09,,
4109,Al,104.17,,
4115,Al,104.01,,
4121,Al,104.01,,
4127,Al,103.84,,
4133,Al,103.75,,
4139,Al,103.92,,
4145,Al,103.75,,
4151,Al,103.84,,
4157,Al,103.33,,
4163,Al,103.84,,
4169,Al,103.92,,
4175,Al,104.01,,
4181,Al,103.84,,
4187,Al,104.43,,
4193,Al,104.09,,
4199,Al,103.92,,
4205,Al,103.84,,
4211,Al,103.67,,
4217,Al,104.01,,
4223,Al,103.75,,
4229,Al,104.34,,
4235,Al,103.75,,
4241,Al,104.43,,
4247,Al,104.17,,
4253,Al,103.84,,
4259,Al,103.84,,
4265,Al,104.09,,
4271,Al,104.01,,
4277,Al,104.09,,
4283,Al,104.01,,
4289,Al,104.76,,
4295,Al,103.92,,
4301,Al,104.43,,
4307,Al,104.51,,
4313,Al,104.43,,
4319,Al,104.51,,
4325,Al,104.17,,
4331,Al,104.34,,
4337,Al,104.34,,
4343,Al,104.51,,
4349,Al,104.26,,
4355,Al,104.60,,
4361,Al,103.92,,
4367,Al,104.34,,
4373,Al,104.43,,
4379,Al,104.34,,
4385,Al,103.84,,
4391,Al,104.26,,
4397,Al,104.26,,
4403,Al,104.26,,
4409,Al,104.43,,
4415,Al,104.51,,
4421,Al,103.92,,
4427,Al,104.26,,
4433,Al,104.01,,
4439,Al,104.26,,
4445,Al,104.09,,
4451,Al,104.26,,
4457,Al,104.34,,
4463,Al,103.92,,
4469,Al,104.43,,
4475,Al,104.51,,
4481,Al,104.76,,
4487,Al,104.76,,
4493,Al,104.51,,
4499,Al,104.68,,
4505,Al,104.43,,
4511,Al,104.60,,
4517,Al,104.68,,
4523,Al,105.10,,
4529,Al,104.68,,
4535,Al,105.10,,
4541,Al,104.51,,
4547,Al,104.51,,
4553,Al,104.43,,
4559,Al,105.10,,
4565,Al,105.02,,
4571,Al,105.35,,
4577,Al,105.10,,
4583,Al,105.10,,
4589,Al,104.34,,
4595,Al,104.68,,
4601,Al,104.60,,
4607,Al,105.10,,
4613,Al,105.02,,
4619,Al,104.51,,
4625,Al,104.68,,
4631,Al,104.51,,
4637,Al,104.68,,
4643,Al,104.43,,
4649,Al,105.18,,
4655,Al,104.76,,
4661,Al,104.51,,
4667,Al,104.76,,
4673,Al,105.27,,
4679,Al,105.35,,
4685,Al,104.60,,
4691,Al,105.27,,
4697,Al,105.10,,
4703,Al,104.60,,
4709,Al,105.44,,
4715,Al,105.18,,
4721,Al,104.34,,
4727,Al,104.68,,
4733,Al,105.18,,
4739,Al,105.35,,
4745,Al,104.51,,
4751,Al,105.35,,
4757,Al,104.68,,
4763,Al,104.68,,
4769,Al,104.68,,
4775,Al,105.27,,
4781,Al,104.43,,
4787,Al,104.76,,
4793,Al,104.76,,
4799,Al,104.68,,
4805,Al,104.76,,
4811,Al,105.02,,
4817,Al,105.35,,
4823,Al,104.26,,
4829,Al,105.10,,
4835,Al,105.35,,
4841,Al,105.02,,
4847,Al,105.02,,
4853,Al,105.18,,
4859,Al,104.68,,
4865,Al,105.35,,
4871,Al,104.60,,
4877,Al,105.27,,
4883,Al,104.68,,
4889,Al,105.44,,
4895,Al,105.35,,
4901,Al,105.35,,
4907,Al,104.76,,
4913,Al,105.35,,
4919,Al,105.18,,
4925,Al,105.61,,
4931,Al,105.44,,
4937,Al,105.27,,
4943,Al,105.10,,
4949,Al,105.61,,
4955,Al,105.69,,
4961,Al,105.44,,
4967,Al,104.60,,
4973,Al,105.18,,
4979,Al,106.19,,
4985,Al,105.18,,
4991,Al,105.44,,
4997,Al,105.35,,
5003,Al,105.27,,
5009,Al,105.35,,
5015,Al,105.18,,
5021,Al,105.69,,
5027,Al,105.44,,
5033,Al,105.61,,
5039,Al,105.35,,
5045,Al,105.77,,
5051,Al,105.86,,
5057,Al,105.86,,
5063,Al,105.02,,
5069,Al,106.36,,
5075,Al,106.36,,
5081,Al,105.52,,
5087,Al,105.52,,
5093,Al,105.61,,
5099,Al,105.61,,
5105,Al,105.44,,
5111,Al,105.35,,
5117,Al,105.69,,
5123,Al,105.18,,
5129,Al,105.61,,
5135,Al,105.86,,
5141,Al,105.44,,
5147,Al,105.18,,
5153,Al,105.61,,
5159,Al,105.44,,
5165,Al,105.94,,
5171,Al,105.44,,
5177,Al,105.77,,
5183,Al,105.61,,
5189,Al,105.61,,
5195,Al,105.18,,
5201,Al,105.44,,
5207,Al,105.69,,
5213,Al,105.52,,
5219,Al,106.03,,
5225,Al,105.77,,
5231,Al,105.35,,
5237,Al,105.44,,
5243,Al,104.76,,
5249,Al,105.86,,
5255,Al,105.77,,
5261,Al,105.10,,
5267,Al,105.52,,
5273,Al,105.52,,
5279,Al,105.02,,
5285,Al,105.10,,
5291,Al,105.27,,
5297,Al,105.10,,
5303,Al,105.02,,
5309,Al,105.10,,
5315,Al,105.27,,
5321,Al,105.18,,
5327,Al,105.10,,
5333,Al,105.18,,
5339,Al,104.68,,
5345,Al,105.35,,
5351,Al,105.27,,
5357,Al,104.51,,
5363,Al,104.68,,
5369,Al,105.44,,
5375,Al,105.02,,
5381,Al,105.10,,
