,0,1,2,3
928,Gyro,-0.30,-0.10,0.07
934,Gyro,-0.68,0.44,0.46
940,Gyro,-0.01,-0.01,-0.46
946,Gyro,-0.22,0.03,0.41
952,Gyro,-0.24,-1.24,0.26
958,Gyro,-1.38,-0.32,0.59
964,Gyro,-0.27,-0.34,0.58
970,Gyro,-0.06,-0.41,0.36
976,Gyro,0.03,0.33,-0.04
982,Gyro,5.03,2.60,-0.18
988,Gyro,-0.57,-0.77,0.41
994,Gyro,0.51,-0.74,2.06
1000,Gyro,0.23,-0.67,0.76
1006,Gyro,-2.56,-2.12,-0.14
1012,Gyro,0.67,0.57,2.59
1018,Gyro,0.27,-0.67,14.23
1024,Gyro,-0.31,0.60,-0.28
1030,Gyro,0.24,0.73,0.24
1036,Gyro,0.68,-0.30,5.68
1042,Gyro,0.25,0.30,0.13
1048,Gyro,0.00,0.26,0.72
1054,Gyro,0.04,-0.92,0.19
1060,Gyro,-0.78,0.81,-3.03
1066,Gyro,-0.45,0.03,-0.79
1072,Gyro,-2.12,-1.10,-0.59
1078,Gyro,-1.41,-1.17,2.77
1084,Gyro,0.16,0.13,0.39
1090,Gyro,-0.36,-0.21,0.20
1096,Gyro,0.02,0.00,1.22
1102,Gyro,-0.38,-0.43,1.98
1108,Gyro,-0.38,0.49,-0.42
1114,Gyro,1.05,0.43,1.18
1120,Gyro,0.03,0.52,-0.76
1126,Gyro,0.33,0.39,-0.70
1132,Gyro,0.28,-0.14,0.43
1135,Gyro,-0.31,0.33,0.06
1141,Gyro,0.17,0.25,0.23
1147,Gyro,0.08,0.42,0.34
1153,Gyro,0.38,0.15,0.54
1159,Gyro,-0.41,0.09,0.05
1165,Gyro,-0.75,-0.17,0.25
1171,Gyro,-0.06,-0.11,-0.25
1177,Gyro,0.14,0.62,0.02
1183,Gyro,-0.75,-0.51,-0.22
1189,Gyro,0.01,-0.10,0.43
1195,Gyro,0.16,0.11,-0.18
1201,Gyro,-0.09,0.37,0.17
1207,Gyro,-0.68,0.67,-1.25
1213,Gyro,0.21,0.38,-0.46
1219,Gyro,-0.07,-0.11,-0.10
1225,Gyro,-0.32,-0.20,0.33
1231,Gyro,0.13,0.10,-0.33
1237,Gyro,0.35,0.40,-0.06
1243,Gyro,0.28,-0.02,0.34
1249,Gyro,0.35,0.04,-0.25
1255,Gyro,-0.27,-0.72,0.37
1261,Gyro,0.36,0.47,-0.27
1267,Gyro,0.48,0.62,-0.15
1273,Gyro,-0.03,-0.45,0.97
1279,Gyro,0.08,0.37,0.40
1285,Gyro,0.32,0.13,0.44
1291,Gyro,-0.47,0.15,0.03
1297,Gyro,0.53,0.96,-0.85
1303,Gyro,-0.32,-1.05,1.69
1309,Gyro,0.62,0.37,0.31
1315,Gyro,0.28,-0.54,0.05
1321,Gyro,-0.21,-0.16,0.46
1327,Gyro,-0.41,-0.27,0.22
1333,Gyro,-0.29,0.00,0.65
1339,Gyro,0.11,0.72,0.22
1345,Gyro,0.18,0.46,-0.20
1351,Gyro,0.14,-0.06,-0.06
1357,Gyro,0.41,-0.10,-0.24
1363,Gyro,0.36,0.47,-0.17
1369,Gyro,-0.07,0.05,0.20
1375,Gyro,0.27,0.19,-0.02
1381,Gyro,0.30,0.49,-0.28
1387,Gyro,-0.74,-0.69,0.14
1393,Gyro,-1.15,-0.24,0.29
1399,Gyro,-0.36,-0.04,-0.57
1405,Gyro,-0.90,-0.78,-0.95
1411,Gyro,-0.22,-0.09,0.16
1417,Gyro,-0.42,-0.47,-0.02
1423,Gyro,0.30,0.33,0.12
1429,Gyro,0.09,0.46,-0.67
1435,Gyro,0.61,0.29,-0.56
1441,Gyro,0.26,0.39,0.27
1447,Gyro,-0.27,0.11,0.44
1453,Gyro,-0.08,-0.27,0.38
1459,Gyro,0.88,0.43,-0.53
1465,Gyro,-0.38,-0.86,0.40
1471,Gyro,-0.02,-0.18,0.24
1477,Gyro,0.30,0.05,-0.34
1483,Gyro,-0.03,-0.18,0.23
1489,Gyro,-0.38,-0.36,0.26
1495,Gyro,-1.39,-0.40,0.61
1501,Gyro,-0.22,0.21,-0.26
1507,Gyro,-0.22,-0.27,0.30
1513,Gyro,0.20,-0.60,-0.35
1519,Gyro,-0.50,-0.58,0.74
1525,Gyro,0.05,-0.11,0.16
1531,Gyro,-0.16,-0.03,0.21
1537,Gyro,-0.11,-0.18,-0.03
1543,Gyro,-0.04,-0.19,-0.59
1549,Gyro,-0.39,0.01,0.31
1555,Gyro,-0.73,-0.51,0.03
1561,Gyro,-0.64,0.02,-0.34
1567,Gyro,0.06,0.94,-0.23
1573,Gyro,-0.29,-0.59,-0.35
1579,Gyro,-0.56,-0.22,0.24
1585,Gyro,0.36,0.74,-0.26
1591,Gyro,-0.90,-0.82,0.99
1597,Gyro,0.49,-0.06,0.47
1603,Gyro,0.16,0.32,0.17
1609,Gyro,-0.25,-0.05,0.30
1615,Gyro,-0.22,-0.53,-0.14
1621,Gyro,-0.57,0.05,0.26
1627,Gyro,-0.08,-0.82,0.34
1633,Gyro,-0.14,-0.22,0.00
1639,Gyro,-0.29,-0.14,0.69
1645,Gyro,-0.23,-0.36,0.44
1651,Gyro,0.17,0.25,0.14
1657,Gyro,-0.57,-0.58,0.01
1663,Gyro,0.29,0.06,-0.11
1669,Gyro,-0.78,-0.55,0.82
1675,Gyro,0.06,0.00,-0.19
1681,Gyro,0.25,-0.23,0.20
1687,Gyro,0.06,-0.38,0.45
1693,Gyro,-0.10,-0.08,-0.35
1699,Gyro,-0.07,-1.06,2.02
1705,Gyro,-0.02,-0.52,0.60
1711,Gyro,-0.06,-0.02,-0.11
1717,Gyro,-0.30,-0.25,-0.64
1723,Gyro,-0.33,-0.46,0.84
1729,Gyro,0.02,-0.13,-0.23
1735,Gyro,-0.52,-0.62,-0.11
1741,Gyro,1.06,-0.05,-0.29
1747,Gyro,-0.27,-0.17,0.24
1753,Gyro,-0.33,-0.46,0.18
1759,Gyro,0.19,-0.12,-0.16
1765,Gyro,-0.44,-0.06,0.32
1771,Gyro,0.01,-0.43,-0.37
1777,Gyro,0.20,0.56,-0.82
1783,Gyro,0.20,-0.17,-0.90
1789,Gyro,0.04,-0.10,0.36
1795,Gyro,0.30,0.06,-0.51
1801,Gyro,-0.98,-0.93,-0.37
1807,Gyro,0.09,-0.27,0.41
1813,Gyro,0.18,0.51,0.14
1819,Gyro,-1.22,-0.30,0.09
1825,Gyro,-0.40,-0.19,0.49
1831,Gyro,-0.16,-0.30,0.32
1837,Gyro,-0.13,0.07,0.24
1843,Gyro,-0.08,1.36,0.07
1849,Gyro,-0.47,0.16,-0.37
1855,Gyro,-0.46,0.41,0.08
1861,Gyro,-0.35,-0.16,0.34
