,0,1,2,3
0,Accl,0.06,-0.35,9.57
6,Accl,0.04,-0.33,9.50
12,Accl,0.16,-0.32,9.62
18,Accl,0.10,-0.39,9.56
24,Accl,0.06,-0.36,9.58
30,Accl,0.06,-0.26,9.56
36,Accl,0.07,-0.28,9.57
42,Accl,0.04,-0.46,9.57
48,Accl,0.09,-0.32,9.60
54,Accl,0.06,-0.22,9.52
60,Accl,0.13,-0.36,9.57
66,Accl,0.10,-0.36,9.56
72,Accl,0.12,-0.31,9.59
78,Accl,0.08,-0.33,9.56
84,Accl,0.04,-0.36,9.54
90,Accl,0.06,-0.30,9.56
96,Accl,0.06,-0.37,9.57
102,Accl,0.06,-0.31,9.54
108,Accl,0.11,-0.33,9.57
114,Accl,0.08,-0.35,9.55
120,Accl,0.09,-0.33,9.56
126,Accl,0.13,-0.27,9.59
132,Accl,0.06,-0.37,9.55
138,Accl,0.08,-0.32,9.56
144,Accl,0.10,-0.26,9.57
150,Accl,0.10,-0.31,9.59
156,Accl,0.08,-0.39,9.54
162,Accl,0.10,-0.25,9.56
168,Accl,0.13,-0.34,9.62
174,Accl,0.08,-0.37,9.52
180,Accl,0.10,-0.32,9.57
186,Accl,0.11,-0.27,9.57
192,Accl,0.06,-0.37,9.57
198,Accl,0.08,-0.32,9.55
204,Accl,0.20,-0.38,9.64
210,Accl,0.18,-0.22,9.59
216,Accl,0.20,-0.25,9.61
222,Accl,0.13,-0.41,9.56
228,Accl,0.02,-0.40,9.51
234,Accl,0.12,-0.25,9.56
240,Accl,0.13,-0.33,9.58
246,Accl,0.09,-0.38,9.55
252,Accl,0.11,-0.33,9.54
258,Accl,0.17,-0.26,9.61
264,Accl,0.10,-0.38,9.54
270,Accl,0.11,-0.27,9.53
276,Accl,0.08,-0.30,9.57
282,Accl,0.09,-0.38,9.54
288,Accl,0.10,-0.40,9.54
294,Accl,0.10,-0.28,9.60
300,Accl,0.09,-0.29,9.57
306,Accl,0.08,-0.37,9.53
312,Accl,0.10,-0.37,9.55
318,Accl,0.14,-0.33,9.59
324,Accl,0.11,-0.32,9.55
330,Accl,0.11,-0.35,9.56
336,Accl,0.14,-0.33,9.58
342,Accl,0.12,-0.26,9.53
348,Accl,0.15,-0.36,9.53
354,Accl,0.15,-0.45,9.58
360,Accl,0.12,-0.25,9.56
366,Accl,0.15,-0.26,9.57
372,Accl,0.13,-0.32,9.53
378,Accl,0.21,-0.40,9.68
384,Accl,0.14,-0.15,9.60
390,Accl,0.08,-0.45,9.54
396,Accl,0.05,-0.52,9.51
402,Accl,0.13,-0.22,9.61
408,Accl,0.11,-0.20,9.56
414,Accl,0.08,-0.45,9.52
420,Accl,0.10,-0.42,9.55
426,Accl,0.14,-0.23,9.58
432,Accl,0.12,-0.28,9.55
438,Accl,0.12,-0.45,9.55
444,Accl,0.13,-0.37,9.58
450,Accl,0.13,-0.23,9.57
456,Accl,0.11,-0.41,9.56
462,Accl,0.09,-0.27,9.56
468,Accl,0.14,-0.25,9.59
474,Accl,0.08,-0.46,9.53
480,Accl,0.10,-0.35,9.56
486,Accl,0.14,-0.26,9.58
492,Accl,0.09,-0.36,9.54
498,Accl,0.11,-0.36,9.55
504,Accl,0.13,-0.32,9.59
510,Accl,0.10,-0.33,9.55
516,Accl,0.09,-0.35,9.56
522,Accl,0.07,-0.28,9.56
528,Accl,0.12,-0.36,9.57
534,Accl,0.09,-0.36,9.52
540,Accl,0.14,-0.27,9.56
546,Accl,0.15,-0.33,9.60
552,Accl,0.08,-0.37,9.53
558,Accl,0.13,-0.30,9.56
564,Accl,0.16,-0.32,9.56
570,Accl,0.13,-0.37,9.56
576,Accl,0.15,-0.32,9.58
582,Accl,0.09,-0.34,9.55
588,Accl,0.11,-0.33,9.57
594,Accl,0.12,-0.34,9.57
600,Accl,0.12,-0.34,9.53
606,Accl,0.08,-0.34,9.59
612,Accl,0.06,-0.41,9.53
618,Accl,0.23,-0.24,9.60
624,Accl,0.14,-0.43,9.54
630,Accl,0.18,-0.27,9.62
636,Accl,0.13,-0.29,9.56
642,Accl,0.12,-0.36,9.55
648,Accl,0.14,-0.29,9.57
654,Accl,0.15,-0.30,9.54
660,Accl,0.11,-0.41,9.53
666,Accl,-0.03,-0.46,9.57
672,Accl,-0.01,-0.44,9.53
678,Accl,0.08,-0.17,9.53
684,Accl,0.13,-0.40,9.57
690,Accl,0.16,-0.45,9.57
696,Accl,0.09,-0.24,9.50
702,Accl,0.07,-0.35,9.44
708,Accl,0.08,-0.34,9.54
714,Accl,0.37,-0.74,10.37
720,Accl,-0.74,0.95,9.56
726,Accl,-3.34,-0.16,5.86
732,Accl,-0.99,-0.31,8.97
738,Accl,-1.27,-0.51,9.56
744,Accl,-1.58,-0.21,10.12
750,Accl,-2.67,-0.72,8.81
756,Accl,0.72,-1.01,11.30
762,Accl,-0.04,-0.54,9.79
768,Accl,0.20,-0.45,8.57
774,Accl,-0.21,-0.76,9.72
780,Accl,-0.56,0.26,8.47
786,Accl,-0.21,-0.17,9.80
792,Accl,-0.13,-0.50,9.50
798,Accl,0.20,-0.19,9.58
804,Accl,-0.16,-0.05,9.80
810,Accl,0.74,-0.99,9.45
816,Accl,0.55,-1.09,9.37
