,0,1,2,3
1,Gyro,-20.73,5.41,-124.51
7,Gyro,-29.87,-12.32,-124.51
13,Gyro,-13.82,-18.70,-124.51
19,Gyro,-7.82,-2.97,-124.51
25,Gyro,-16.15,5.89,-124.51
31,Gyro,-15.75,7.44,-124.51
37,Gyro,-6.34,-3.30,-124.51
43,Gyro,11.64,-10.75,-124.51
49,Gyro,-3.45,-1.81,-124.51
55,Gyro,-19.46,-16.48,-124.51
61,Gyro,-15.69,-17.99,-124.51
67,Gyro,-15.61,-11.38,-124.51
73,Gyro,-17.17,-10.93,-124.51
79,Gyro,-16.51,-15.14,-124.51
85,Gyro,-14.31,-18.97,-124.51
91,Gyro,-6.16,-6.10,-124.51
97,Gyro,-9.79,1.28,-124.51
103,Gyro,-13.78,-2.35,-124.51
109,Gyro,-8.27,-4.40,-124.51
115,Gyro,-7.67,0.91,-124.51
121,Gyro,-15.52,4.31,-124.51
127,Gyro,-19.89,0.72,-124.51
133,Gyro,-18.55,-6.27,-124.51
139,Gyro,-12.86,-7.21,-124.51
145,Gyro,-9.54,-5.12,-124.51
151,Gyro,-7.46,-4.01,-124.51
157,Gyro,-8.35,-3.36,-124.51
163,Gyro,-4.61,-9.29,-124.51
169,Gyro,3.20,-9.17,-124.51
175,Gyro,8.87,-4.07,-124.51
181,Gyro,9.04,3.44,-124.51
187,Gyro,1.91,12.94,-124.51
193,Gyro,-3.10,15.30,-124.51
199,Gyro,-8.40,14.47,-124.51
205,Gyro,-12.40,12.31,-124.51
211,Gyro,-16.23,7.81,-124.51
217,Gyro,-18.02,4.43,-124.45
223,Gyro,-19.98,0.93,-124.51
229,Gyro,-20.64,-4.69,-124.33
235,Gyro,-20.33,-11.47,-123.53
241,Gyro,-17.89,-18.37,-121.49
247,Gyro,-13.70,-22.69,-119.45
253,Gyro,-6.59,-29.05,-115.74
259,Gyro,1.99,-30.32,-112.96
265,Gyro,9.47,-29.89,-110.28
271,Gyro,19.22,-25.68,-113.02
277,Gyro,27.79,-19.29,-113.32
283,Gyro,35.86,-10.78,-114.35
289,Gyro,41.45,-0.21,-111.30
295,Gyro,42.16,11.22,-107.85
301,Gyro,38.17,23.77,-106.00
307,Gyro,28.71,30.47,-102.43
313,Gyro,18.78,34.24,-101.05
319,Gyro,8.67,32.98,-99.13
325,Gyro,-0.54,28.27,-96.98
331,Gyro,-8.63,22.61,-94.65
