,0,1,2,3
5,Al,32.02,,
11,Al,32.44,,
17,Al,31.94,,
23,Al,32.35,,
29,Al,32.27,,
35,Al,32.10,,
41,Al,32.27,,
47,Al,32.19,,
53,Al,32.77,,
59,Al,32.10,,
65,Al,32.02,,
71,Al,32.61,,
77,Al,32.61,,
83,Al,32.35,,
89,Al,32.27,,
95,Al,32.35,,
101,Al,32.69,,
107,Al,32.10,,
113,Al,32.10,,
119,Al,32.10,,
125,Al,32.10,,
131,Al,32.27,,
137,Al,31.94,,
143,Al,32.69,,
149,Al,32.77,,
155,Al,32.69,,
161,Al,32.10,,
167,Al,32.02,,
173,Al,31.60,,
179,Al,32.02,,
185,Al,32.27,,
191,Al,32.35,,
197,Al,31.86,,
203,Al,32.02,,
209,Al,31.86,,
215,Al,32.02,,
221,Al,32.27,,
227,Al,31.86,,
233,Al,32.02,,
239,Al,32.44,,
245,Al,32.19,,
251,Al,31.69,,
257,Al,31.94,,
263,Al,31.77,,
269,Al,31.86,,
275,Al,32.44,,
281,Al,32.27,,
287,Al,32.69,,
293,Al,32.02,,
299,Al,31.69,,
305,Al,32.19,,
311,Al,31.52,,
317,Al,31.35,,
323,Al,32.10,,
329,Al,31.35,,
335,Al,31.69,,
341,Al,31.94,,
347,Al,31.69,,
