5731, 0.03, -0.02, 1.40, -124.51, 124.51, 30.42, 995.00, 995.00, 3983.00
5804, -0.45, -0.14, 1.30, 124.51, -124.51, -53.09, -1735.00, -1735.00, -6940.00
5862, -0.03, -0.08, 1.32, 124.51, -124.51, -124.51, -4080.00, -4080.00, -16320.00
5920, 0.27, 0.17, 1.09, 124.51, -124.51, -113.07, -3727.00, -3727.00, -14907.00
5978, -0.03, 0.03, 1.06, -124.51, 124.51, 96.95, 3180.00, 3180.00, 12721.00
6036, 0.02, -0.05, 1.38, -124.51, 124.51, 14.14, 449.00, 449.00, 1799.00
6094, -0.25, -0.13, 1.33, 39.86, 75.12, 24.54, 803.00, 803.00, 3212.00
6167, -0.23, -0.07, 1.42, 124.51, -124.51, 27.27, 899.00, 899.00, 3598.00
6225, 0.03, 0.02, 1.17, 124.51, -124.51, 41.88, 1381.00, 1381.00, 5525.00
6283, 0.27, 0.27, 0.96, -9.75, -92.20, -47.07, -1543.00, -1543.00, -6169.00
6341, 0.08, 0.15, 1.33, -20.22, -30.69, -32.92, -1061.00, -1061.00, -4241.00
6399, 0.24, 0.22, 1.23, 124.51, -100.43, -19.46, -643.00, -643.00, -2571.00
6457, -0.05, 0.13, 1.10, -124.51, 124.51, 124.51, 4079.00, 4079.00, 16319.00
6515, -0.46, -0.11, 1.36, -124.51, 124.51, -42.79, -1382.00, -1382.00, -5526.00
6588, -0.17, -0.08, 1.21, 124.51, -124.51, -92.92, -3052.00, -3052.00, -12208.00
6646, -0.12, 0.03, 1.24, 124.51, -46.49, -33.65, -1093.00, -1093.00, -4370.00
6704, -0.04, 0.09, 1.23, 32.35, 124.51, -36.06, -1189.00, -1189.00, -4755.00
6762, -0.13, 0.04, 1.23, 33.68, 102.73, -64.84, -2121.00, -2121.00, -8482.00
6820, -0.30, 0.00, 1.52, 124.51, -124.51, -28.86, -932.00, -932.00, -3727.00
