14883,123.16, -0.01, 0.03, 1.00, 28, -8, 44, -343, 359, -189
15061,123.25, -0.01, 0.03, 1.00, 66, -72, 33, -338, 354, -170
15239,123.16, -0.01, 0.02, 1.00, 56, 1, -54, -333, 354, -170
15417,123.42, -0.01, 0.03, 0.99, 68, -95, 54, -328, 354, -183
15595,122.90, -0.02, 0.03, 1.00, 11, 57, 11, -338, 354, -177
15788,123.77, -0.01, 0.03, 1.00, -34, -113, 36, -338, 349, -183
15966,123.25, -0.02, 0.03, 1.00, 13, -135, -55, -344, 359, -183
16144,122.72, -0.01, 0.02, 0.99, 84, 51, 6, -338, 354, -190
16322,123.16, -0.01, 0.02, 1.00, 23, 12, -33, -338, 354, -177
16500,122.72, -0.01, 0.02, 1.00, -86, -73, 21, -333, 354, -177
16678,123.77, -0.01, 0.02, 1.00, 37, 6, 38, -338, 359, -177
16856,122.98, -0.02, 0.03, 1.00, 24, 44, -27, -333, 354, -177
17034,123.68, -0.02, 0.01, 1.00, 16, -27, -10, -328, 354, -177
17228,122.98, -0.01, 0.02, 0.99, -33, 42, -6, -338, 349, -177
17406,122.37, -0.01, 0.02, 1.00, 26, 2, -57, -333, 359, -183
17584,122.98, -0.01, 0.02, 0.98, -22, -68, 82, -338, 354, -177
17762,123.42, -0.00, 0.02, 0.98, 18, -42, 98, -339, 349, -171
17940,123.42, -0.02, 0.02, 0.99, -70, -28, 22, -338, 354, -183
