,0,1,2,3
928,Gyro,3.08,1.98,-20.31
934,Gyro,0.36,4.84,-17.18
940,Gyro,5.70,11.63,-27.79
946,Gyro,1.46,-1.75,-7.03
952,Gyro,5.53,-0.87,-13.06
958,Gyro,-7.33,-7.92,6.65
964,Gyro,-0.33,-8.98,-7.82
970,Gyro,-4.15,-9.42,-4.02
976,Gyro,-9.81,-3.41,1.09
982,Gyro,5.10,14.02,-2.84
988,Gyro,-3.77,9.01,-1.76
994,Gyro,-1.46,0.89,13.62
1000,Gyro,-5.16,27.42,16.77
1006,Gyro,-9.73,9.56,18.89
1012,Gyro,-7.01,-3.94,-11.31
1018,Gyro,6.85,6.88,-41.50
1024,Gyro,12.45,13.85,-88.10
1030,Gyro,1.01,-10.66,-71.02
1036,Gyro,3.31,-19.06,-47.90
1042,Gyro,-10.07,-30.59,2.12
1048,Gyro,-5.91,8.64,-9.55
1054,Gyro,-3.12,6.18,1.58
1060,Gyro,-9.65,8.33,17.93
1066,Gyro,-3.75,-7.43,10.44
1072,Gyro,-11.82,-1.66,26.46
1078,Gyro,13.79,-1.29,-34.60
1084,Gyro,-0.08,-7.64,-22.18
1090,Gyro,-11.31,-15.54,-20.58
1096,Gyro,-1.35,16.17,-44.67
1102,Gyro,-15.36,-40.09,1.21
1108,Gyro,-37.31,-34.47,-25.31
1114,Gyro,18.03,12.40,-11.21
1120,Gyro,56.61,-6.91,1.68
1126,Gyro,0.90,-6.46,2.88
1132,Gyro,-12.82,18.25,-8.23
1138,Gyro,-21.79,11.83,-13.68
1144,Gyro,-8.58,17.88,-14.75
1150,Gyro,-23.60,10.20,-32.03
1156,Gyro,4.44,-4.20,-4.93
1162,Gyro,18.60,2.87,-0.48
1168,Gyro,-10.91,-6.40,-1.11
1174,Gyro,14.20,3.81,-7.23
1180,Gyro,-27.60,18.93,-23.45
1186,Gyro,-24.73,-1.88,1.98
1192,Gyro,25.70,-12.94,-3.87
1198,Gyro,-32.52,16.96,-19.01
1204,Gyro,-2.11,-0.27,-7.93
1210,Gyro,2.09,-5.37,-1.22
1216,Gyro,13.47,4.31,1.26
1222,Gyro,11.65,7.06,6.41
1228,Gyro,-16.28,1.05,-0.39
1234,Gyro,-3.94,8.01,-3.69
1240,Gyro,-3.39,28.81,-3.38
1246,Gyro,-5.27,0.84,-5.44
1252,Gyro,-3.20,25.37,-31.26
1258,Gyro,-1.64,6.61,-2.11
1264,Gyro,3.91,11.92,9.26
1270,Gyro,4.89,4.52,1.57
1276,Gyro,8.92,18.35,10.89
1282,Gyro,-5.81,8.57,0.85
1288,Gyro,-2.49,-21.44,3.52
1294,Gyro,9.06,8.17,-7.24
1300,Gyro,-5.07,-14.87,-2.99
1306,Gyro,-9.24,-39.68,14.11
1312,Gyro,-0.06,7.54,7.80
1318,Gyro,0.38,-13.56,7.06
1324,Gyro,-1.96,0.44,-7.99
1330,Gyro,2.01,-5.21,-0.78
1336,Gyro,1.20,-3.69,-1.08
1342,Gyro,0.23,-5.68,0.64
1348,Gyro,6.24,-2.01,1.23
1354,Gyro,7.00,-4.54,6.20
1360,Gyro,-5.39,-14.84,-9.14
1366,Gyro,2.57,-14.39,-29.50
1372,Gyro,4.56,4.38,-6.61
1378,Gyro,2.87,-3.18,-7.67
1384,Gyro,-10.89,-26.92,4.31
1390,Gyro,1.16,-27.09,11.12
1396,Gyro,11.69,-7.25,10.23
1402,Gyro,0.61,-33.14,13.11
1408,Gyro,-23.48,-19.23,0.56
1414,Gyro,-25.46,0.35,-4.87
1420,Gyro,-9.28,-5.68,9.78
1426,Gyro,3.66,4.51,-4.42
1432,Gyro,-12.54,-2.88,3.48
1438,Gyro,10.58,18.41,-10.93
1444,Gyro,-13.57,73.36,3.91
1450,Gyro,29.99,13.01,-13.12
1456,Gyro,-1.27,-3.75,-0.66
1462,Gyro,5.04,-0.28,2.37
1468,Gyro,6.34,3.37,-6.76
1474,Gyro,-4.89,1.19,-1.30
1480,Gyro,-0.32,0.21,6.03
1486,Gyro,8.90,-1.87,8.25
1492,Gyro,-2.03,1.88,10.23
1498,Gyro,-2.81,4.02,18.21
1504,Gyro,-18.10,3.64,-7.89
1510,Gyro,11.40,-4.69,-2.16
1516,Gyro,-15.17,5.19,-6.52
1522,Gyro,-0.65,1.43,-1.29
1528,Gyro,-1.33,-0.59,-0.96
1534,Gyro,-1.52,-1.07,-4.69
1540,Gyro,-0.98,0.13,-5.63
1546,Gyro,0.39,1.01,-2.34
1552,Gyro,-0.08,-0.04,-0.12
1558,Gyro,-1.04,0.95,1.44
1564,Gyro,11.78,-4.25,5.08
1570,Gyro,11.70,-1.18,3.50
1576,Gyro,-0.22,-3.46,-6.06
1582,Gyro,-1.63,-0.96,-1.39
1588,Gyro,0.62,-2.48,-10.13
1594,Gyro,1.05,0.48,2.30
1600,Gyro,0.26,0.71,-0.90
1606,Gyro,-0.24,1.07,4.26
1612,Gyro,-0.55,-1.20,2.95
1618,Gyro,0.66,0.61,-2.93
1624,Gyro,0.57,-0.12,0.96
1630,Gyro,0.17,0.31,0.92
1636,Gyro,1.02,-0.30,-2.66
1642,Gyro,0.29,-0.01,-0.38
1648,Gyro,-21.07,-8.94,-5.31
1654,Gyro,-0.08,-0.69,-0.72
1660,Gyro,0.42,-0.04,0.33
1666,Gyro,-0.13,-0.44,-1.41
1672,Gyro,-1.22,-1.59,-16.91
1678,Gyro,-6.63,1.18,-10.99
1684,Gyro,-0.31,-0.12,0.54
1690,Gyro,-2.52,-0.02,-3.28
1696,Gyro,-18.09,5.90,1.45
1702,Gyro,0.21,0.09,15.35
1708,Gyro,-0.08,0.18,3.93
1714,Gyro,2.12,1.15,-0.55
1720,Gyro,40.82,-15.79,11.29
1726,Gyro,0.10,-0.68,4.09
1732,Gyro,-2.52,3.24,-1.80
